Cycle 	Algorithm (optimal length) 	Case Name
(URB DFL DRF) 	R2 U' L2 U R2 U' L2 U (8 HTM) 	Toss Up
(URB DFL DLB) 	L' F' L B2 L' F L B2 (8 HTM) 	Direct Insert
(URB DFL DBR) 	R2 U2 L2 U R2 U' L2 U R2 U R2 (11 HTM) 	Columns
(URB DRF UBL) 	R2 D' L2 D R2 D' L2 D (8 HTM) 	Toss Up
(URB DRF ULF) 	U2 F R2 F' R2 F' U2 F R2 F R2 F' (12 HTM) 	Per Special
(URB DRF UFR) 	D2 B2 D F2 D' B2 D F2 D (9 HTM) 	A9
(URB DRF FUL) 	R2 D' L D R2 D' L' D (8 HTM) 	Drop and Catch
(URB DRF FRU) 	U' B U' F2 U B' U' F2 U2 (9 HTM) 	A9
(URB DRF FLD) 	U2 R2 U2 R D2 R' U2 R D2 R U2 (11 HTM) 	Columns
(URB DRF RUF) 	B U2 B D2 B' U2 B D2 B2 (9 HTM) 	A9
(URB DRF RDB) 	F2 U2 F' D2 F U2 F' D2 F' (9 HTM) 	A9
(URB DRF BLU) 	U2 L' U2 L' D2 L U2 L' D2 L2 U2 (11 HTM) 	Columns
(URB DRF BRD) 	D2 B2 D F D' B2 D F' D (9 HTM) 	A9
(URB DRF BDL) 	U' L U R2 U' L' U R2 (8 HTM) 	Drop and Catch
(URB DRF LUB) 	U' L' U R2 U' L U R2 (8 HTM) 	Direct Insert
(URB DRF LFU) 	B L' B' R2 B L B' R2 (8 HTM) 	Drop and Catch
(URB DRF LBD) 	R2 F L' F' R2 F L F' (8 HTM) 	Drop and Catch
(URB DRF LDF) 	R2 D' L' D R2 D' L D (8 HTM) 	Direct Insert
(URB DRF DFL) 	U' L2 U R2 U' L2 U R2 (8 HTM) 	Toss Up
(URB DRF DLB) 	U R2 U' B2 U' B2 U B2 D B2 D' R2 (12 HTM) 	Per Special
(URB DRF DBR) 	U' B2 U' F2 U B2 U' F2 U2 (9 HTM) 	A9
(URB DLB UBL) 	D2 R2 D' L2 D R2 D' L2 D' (9 HTM) 	A9
(URB DLB ULF) 	U B2 U' B2 U' L2 U B2 U B2 U' L2 (12 HTM) 	Per Special
(URB DLB UFR) 	R' F' R B2 R' F R B2 (8 HTM) 	Direct Insert
(URB DLB FUL) 	R' F R B2 R' F' R B2 (8 HTM) 	Drop and Catch
(URB DLB FRU) 	U F U' B2 U F' U' B2 (8 HTM) 	Direct Insert
(URB DLB FLD) 	R' F2 R B2 R' F2 R B2 (8 HTM) 	Toss Up
(URB DLB FDR) 	B2 L' F L B2 L' F' L (8 HTM) 	Drop and Catch
(URB DLB RUF) 	U R U2 R D' R' U2 R D R2 U' (11 HTM) 	Columns
(URB DLB RFD) 	U F' U' B2 U F U' B2 (8 HTM) 	Drop and Catch
(URB DLB RDB) 	R' U R' D2 R U' R' D2 R2 (9 HTM) 	A9
(URB DLB BLU) 	R' U2 R' D2 R U2 R' D2 R2 (9 HTM) 	A9
(URB DLB BRD) 	L2 U2 L D2 L' U2 L D2 L (9 HTM) 	A9
(URB DLB LUB) 	U R' U L2 U' R U L2 U2 (9 HTM) 	A9
(URB DLB LFU) 	B2 D F' D' B2 D F D' (8 HTM) 	Drop and Catch
(URB DLB LDF) 	U B2 U' B' D2 B U B' D2 B' U' (11 HTM) 	Columns
(URB DLB DFL) 	U F2 U' B2 U F2 U' B2 (8 HTM) 	Toss Up
(URB DLB DRF) 	U' B2 U R2 U R2 U' R2 D' R2 D B2 (12 HTM) 	Per Special
(URB DLB DBR) 	U R2 U L2 U' R2 U L2 U2 (9 HTM) 	A9
(URB DBR UBL) 	D' R2 D' L2 D R2 D' L2 D2 (9 HTM) 	A9
(URB DBR ULF) 	R B2 L' B' R2 B L B' R2 B' R' (11 HTM) 	Columns
(URB DBR UFR) 	D B2 D F2 D' B2 D F2 D2 (9 HTM) 	A9
(URB DBR FUL) 	D' R2 D' L D R2 D' L' D2 (9 HTM) 	A9
(URB DBR FRU) 	U2 L U' R2 U L' U' R2 U' (9 HTM) 	A9
(URB DBR FLD) 	U2 L' U' R2 U L U' R2 U' (9 HTM) 	A9
(URB DBR FDR) 	D' R2 D' L' D R2 D' L D2 (9 HTM) 	A9
(URB DBR RUF) 	F D' R2 D F' D' F R2 F' D (10 HTM) 	Cyclic Shift
(URB DBR RFD) 	U F' R2 F U' F' U R2 U' F (10 HTM) 	Cyclic Shift
(URB DBR BLU) 	L' D B2 D' L D L' B2 L D' (10 HTM) 	Cyclic Shift
(URB DBR BDL) 	U' L B2 L' U L U' B2 U L' (10 HTM) 	Cyclic Shift
(URB DBR LUB) 	U2 F' U B2 U' F U B2 U (9 HTM) 	A9
(URB DBR LFU) 	D B2 D F' D' B2 D F D2 (9 HTM) 	A9
(URB DBR LBD) 	D B2 D F D' B2 D F' D2 (9 HTM) 	A9
(URB DBR LDF) 	U2 F U B2 U' F' U B2 U (9 HTM) 	A9
(URB DBR DFL) 	R2 U' R2 U' L2 U R2 U' L2 U2 R2 (11 HTM) 	Columns
(URB DBR DRF) 	U2 F2 U B2 U' F2 U B2 U (9 HTM) 	A9
(URB DBR DLB) 	U2 L2 U' R2 U L2 U' R2 U' (9 HTM) 	A9
