Cycle 	Algorithm (optimal length) 	Case Name
(URB FRU ULF) 	L F2 L B2 L' F2 L B2 L2 (9 HTM) 	A9
(URB FRU FUL) 	U' B' U F U' B U F' (8 HTM) 	Direct Insert
(URB FRU FLD) 	U' B' U F2 U' B U F2 (8 HTM) 	Direct Insert
(URB FRU FDR) 	U' B' U F' U' B U F (8 HTM) 	Direct Insert
(URB FRU RFD) 	U2 L' U R2 U' L U R2 U (9 HTM) 	A9
(URB FRU RDB) 	D' F D B' D' F' D B (8 HTM) 	Drop and Catch
(URB FRU BLU) 	L2 F2 L B2 L' F2 L B2 L (9 HTM) 	A9
(URB FRU BRD) 	U F' U B2 U' F U B2 U2 (9 HTM) 	A9
(URB FRU BDL) 	U' L U R U' L' U R' (8 HTM) 	Drop and Catch
(URB FRU LUB) 	U' L' U R U' L U R' (8 HTM) 	Direct Insert
(URB FRU LFU) 	R' F' L' F R F' L F (8 HTM) 	Direct Insert
(URB FRU LBD) 	R' U L2 U' R U L2 U' (8 HTM) 	Drop and Catch
(URB FRU LDF) 	R' U L' U' R U L U' (8 HTM) 	Drop and Catch
(URB FRU DFL) 	U' L2 U R U' L2 U R' (8 HTM) 	Drop and Catch
(URB FRU DRF) 	U2 F2 U B U' F2 U B' U (9 HTM) 	A9
(URB FRU DLB) 	L' F2 L B2 L' F2 L B2 (8 HTM) 	Toss Up
(URB FRU DBR) 	U R2 U L U' R2 U L' U2 (9 HTM) 	A9
(URB FLD UBL) 	U R D2 R' U' R D2 R' (8 HTM) 	Drop and Catch
(URB FLD ULF) 	U2 R D2 R' U2 R D2 R' (8 HTM) 	Drop and Catch
(URB FLD UFR) 	U' R D2 R' U R D2 R' (8 HTM) 	Drop and Catch
(URB FLD FUL) 	L B2 L' F' L B2 L' F (8 HTM) 	Drop and Catch
(URB FLD FRU) 	F2 U' B' U F2 U' B U (8 HTM) 	Direct Insert
(URB FLD FDR) 	F' D B' D' F D B D' (8 HTM) 	Drop and Catch
(URB FLD RUF) 	B' R2 B' L B R2 B' L' B2 (9 HTM) 	A9
(URB FLD RFD) 	D F' U F D' F' U' F (8 HTM) 	Toss Up
(URB FLD RDB) 	B R' F2 R B' R' F2 R (8 HTM) 	Drop and Catch
(URB FLD BLU) 	U B2 D' B' U2 B D B' U2 B' U' (11 HTM) 	Columns
(URB FLD BRD) 	D2 B U B' D2 B U' B' (8 HTM) 	Direct Insert
(URB FLD BDL) 	F2 R' F' L2 F R F' L2 F' (9 HTM) 	A9
(URB FLD LUB) 	U' F U B U' F' U B' (8 HTM) 	Drop and Catch
(URB FLD LFU) 	D2 R D L2 D' R' D L2 D (9 HTM) 	A9
(URB FLD LBD) 	L' U2 L D L' U2 L D' (8 HTM) 	Toss Up
(URB FLD DRF) 	U L' U F2 U' L U L' F2 L U2 (11 HTM) 	Columns
(URB FLD DLB) 	D F D' B2 D F' D' B2 (8 HTM) 	Direct Insert
(URB FLD DBR) 	U R2 U L' U' R2 U L U2 (9 HTM) 	A9
(URB FDR UBL) 	U B' D B U' B' D' B (8 HTM) 	Drop and Catch
(URB FDR ULF) 	U2 B' D B U2 B' D' B (8 HTM) 	Drop and Catch
(URB FDR UFR) 	U' B' D B U B' D' B (8 HTM) 	Drop and Catch
(URB FDR FUL) 	D B' D' F2 D B D' F2 (8 HTM) 	Drop and Catch
(URB FDR FRU) 	F' U' B' U F U' B U (8 HTM) 	Direct Insert
(URB FDR FLD) 	F L B2 L' F' L B2 L' (8 HTM) 	Drop and Catch
(URB FDR RUF) 	D B' R2 B D' B' D R2 D' B (10 HTM) 	Cyclic Shift
(URB FDR RDB) 	R F R' B' R F' R' B (8 HTM) 	Direct Insert
(URB FDR BLU) 	L2 F L B2 L' F' L B2 L (9 HTM) 	A9
(URB FDR BRD) 	B R2 B L B' R2 B L' B2 (9 HTM) 	A9
(URB FDR BDL) 	D2 L U' L' D2 L U L' (8 HTM) 	Toss Up
(URB FDR LUB) 	U' F2 U B U' F2 U B' (8 HTM) 	Drop and Catch
(URB FDR LFU) 	U R' F L2 F' R F L2 F' U' (10 HTM) 	Orthogonals
(URB FDR LBD) 	U F' L2 F R F' L2 F R' U' (10 HTM) 	Orthogonals
(URB FDR LDF) 	D' F U2 F' D F U2 F' (8 HTM) 	Toss Up
(URB FDR DFL) 	L D2 L U' L' D2 L U L2 (9 HTM) 	A9
(URB FDR DLB) 	L' F L B2 L' F' L B2 (8 HTM) 	Drop and Catch
(URB FDR DBR) 	D2 L' D R2 D' L D R2 D (9 HTM) 	A9
(URB RUF UBL) 	B2 D B' U2 B D' B' U2 B' (9 HTM) 	A9
(URB RUF ULF) 	B2 L2 B R2 B' L2 B R2 B (9 HTM) 	A9
(URB RUF FUL) 	F' U2 F' D' F U2 F' D F2 (9 HTM) 	A9
(URB RUF FLD) 	B2 L B R2 B' L' B R2 B (9 HTM) 	A9
(URB RUF FDR) 	B' D R2 D' B D B' R2 B D' (10 HTM) 	Cyclic Shift
(URB RUF RFD) 	F R2 F L F' R2 F L' F2 (9 HTM) 	A9
(URB RUF RDB) 	F' U2 F' D2 F U2 F' D2 F2 (9 HTM) 	A9
(URB RUF BLU) 	L F' U2 F L' F' L U2 L' F (10 HTM) 	Cyclic Shift
(URB RUF BRD) 	B2 L' B R2 B' L B R2 B (9 HTM) 	A9
(URB RUF BDL) 	F' U2 F' D F U2 F' D' F2 (9 HTM) 	A9
(URB RUF LUB) 	F R2 F L2 F' R2 F L2 F2 (9 HTM) 	A9
(URB RUF LFU) 	B L' U2 L B' L' B U2 B' L (10 HTM) 	Cyclic Shift
(URB RUF LBD) 	F R2 F L' F' R2 F L F2 (9 HTM) 	A9
(URB RUF LDF) 	U2 B' U2 B' D2 B U2 B' D2 B2 U2 (11 HTM) 	Columns
(URB RUF DFL) 	B2 D' B' U2 B D B' U2 B' (9 HTM) 	A9
(URB RUF DRF) 	B2 D2 B' U2 B D2 B' U2 B' (9 HTM) 	A9
(URB RUF DLB) 	U R2 D' R' U2 R D R' U2 R' U' (11 HTM) 	Columns
(URB RUF DBR) 	D' F R2 F' D F D' R2 D F' (10 HTM) 	Cyclic Shift
(URB RFD UBL) 	B D2 B' U' B D2 B' U (8 HTM) 	Drop and Catch
(URB RFD ULF) 	L D' L' U2 L D L' U2 (8 HTM) 	Drop and Catch
(URB RFD UFR) 	R' D' R U R' D R U' (8 HTM) 	Direct Insert
(URB RFD FUL) 	U F R' B2 R F' R' B2 R U' (10 HTM) 	Orthogonals
(URB RFD FRU) 	U' R2 U' L' U R2 U' L U2 (9 HTM) 	A9
(URB RFD FLD) 	F' U F D F' U' F D' (8 HTM) 	Toss Up
(URB RFD RUF) 	F2 L F' R2 F L' F' R2 F' (9 HTM) 	A9
(URB RFD RDB) 	D' F' D B' D' F D B (8 HTM) 	Direct Insert
(URB RFD BLU) 	L2 D' L' U2 L D L' U2 L' (9 HTM) 	A9
(URB RFD BRD) 	F' U F D' F' U' F D (8 HTM) 	Toss Up
(URB RFD BDL) 	U R B2 R' F' R B2 R' F U' (10 HTM) 	Orthogonals
(URB RFD LUB) 	L F2 L' B L F2 L' B' (8 HTM) 	Drop and Catch
(URB RFD LFU) 	F2 L' B L F2 L' B' L (8 HTM) 	Drop and Catch
(URB RFD LBD) 	F' U F D2 F' U' F D2 (8 HTM) 	Toss Up
(URB RFD LDF) 	L' F2 L' B L F2 L' B' L2 (9 HTM) 	A9
(URB RFD DFL) 	F D' B2 D F' D' B2 D (8 HTM) 	Drop and Catch
(URB RFD DLB) 	B2 U F' U' B2 U F U' (8 HTM) 	Drop and Catch
(URB RFD DBR) 	F' U R2 U' F U F' R2 F U' (10 HTM) 	Cyclic Shift
(URB RDB UBL) 	U R D R' U' R D' R' (8 HTM) 	Direct Insert
(URB RDB ULF) 	U2 R D R' U2 R D' R' (8 HTM) 	Direct Insert
(URB RDB UFR) 	U' R D R' U R D' R' (8 HTM) 	Direct Insert
(URB RDB FUL) 	R' F R B R' F' R B' (8 HTM) 	Drop and Catch
(URB RDB FRU) 	U F U' B U F' U' B' (8 HTM) 	Direct Insert
(URB RDB FLD) 	R' F2 R B R' F2 R B' (8 HTM) 	Drop and Catch
(URB RDB FDR) 	R' U' R D R' U R D' (8 HTM) 	Direct Insert
(URB RDB RUF) 	F2 D2 F U2 F' D2 F U2 F (9 HTM) 	A9
(URB RDB RFD) 	U F' U' B U F U' B' (8 HTM) 	Toss Up
(URB RDB BLU) 	R B2 R F R' B2 R F' R2 (9 HTM) 	A9
(URB RDB BDL) 	R' U' R D' R' U R D (8 HTM) 	Direct Insert
(URB RDB LUB) 	U2 R2 U L U' R2 U L' U (9 HTM) 	A9
(URB RDB LFU) 	B' R F2 R' B R F2 R' (8 HTM) 	Drop and Catch
(URB RDB LBD) 	R2 F' R B2 R' F R B2 R (9 HTM) 	A9
(URB RDB LDF) 	R' U' R D2 R' U R D2 (8 HTM) 	Direct Insert
(URB RDB DFL) 	U F2 U' B U F2 U' B' (8 HTM) 	Drop and Catch
(URB RDB DRF) 	F D2 F U2 F' D2 F U2 F2 (9 HTM) 	A9
(URB RDB DLB) 	R2 D2 R U R' D2 R U' R (9 HTM) 	A9
(URB BLU ULF) 	R2 F2 R' B2 R F2 R' B2 R' (9 HTM) 	A9
(URB BLU UFR) 	R2 D' R U2 R' D R U2 R (9 HTM) 	A9
(URB BLU FUL) 	R' F U2 F' R F R' U2 R F' (10 HTM) 	Cyclic Shift
(URB BLU FRU) 	L' B2 L' F2 L B2 L' F2 L2 (9 HTM) 	A9
(URB BLU FLD) 	U B U2 B D' B' U2 B D B2 U' (11 HTM) 	Columns
(URB BLU FDR) 	L' B2 L' F L B2 L' F' L2 (9 HTM) 	A9
(URB BLU RUF) 	F' L U2 L' F L F' U2 F L' (10 HTM) 	Cyclic Shift
(URB BLU RFD) 	L U2 L D' L' U2 L D L2 (9 HTM) 	A9
(URB BLU RDB) 	R2 F R' B2 R F' R' B2 R' (9 HTM) 	A9
(URB BLU BRD) 	L U2 L D2 L' U2 L D2 L2 (9 HTM) 	A9
(URB BLU BDL) 	L' B2 L' F' L B2 L' F L2 (9 HTM) 	A9
(URB BLU LFU) 	L U2 L D L' U2 L D' L2 (9 HTM) 	A9
(URB BLU LBD) 	R D' B2 D R' D' R B2 R' D (10 HTM) 	Cyclic Shift
(URB BLU LDF) 	R2 F' R' B2 R F R' B2 R' (9 HTM) 	A9
(URB BLU DFL) 	R2 D R U2 R' D' R U2 R (9 HTM) 	A9
(URB BLU DRF) 	U2 L2 D2 L U2 L' D2 L U2 L U2 (11 HTM) 	Columns
(URB BLU DLB) 	R2 D2 R U2 R' D2 R U2 R (9 HTM) 	A9
(URB BLU DBR) 	D L' B2 L D' L' D B2 D' L (10 HTM) 	Cyclic Shift
(URB BRD UBL) 	U B' D' B U' B' D B (8 HTM) 	Direct Insert
(URB BRD ULF) 	U2 B' D' B U2 B' D B (8 HTM) 	Direct Insert
(URB BRD UFR) 	U' B' D' B U B' D B (8 HTM) 	Direct Insert
(URB BRD FUL) 	R B' L2 B R' B' L2 B (8 HTM) 	Drop and Catch
(URB BRD FRU) 	U2 B2 U' F' U B2 U' F U' (9 HTM) 	A9
(URB BRD FLD) 	D2 L' U2 L D2 L' U2 L (8 HTM) 	Toss Up
(URB BRD FDR) 	B2 L B' R2 B L' B' R2 B' (9 HTM) 	A9
(URB BRD RUF) 	B' R2 B' L' B R2 B' L B2 (9 HTM) 	A9
(URB BRD RFD) 	D' F' U F D F' U' F (8 HTM) 	Toss Up
(URB BRD BLU) 	L2 D2 L' U2 L D2 L' U2 L' (9 HTM) 	A9
